YEAR,RANGE_CATEGORY,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL,FUEL CONSUMPTION,KMXGALON,EMISSIONS
2004,MID_RANGE,TRUCK_VAN,4.3,6,X,17.3,30.57746,350
2004,MID_RANGE,TRUCK_VAN,4.3,6,X,16.6,30.57746,334
2004,MID_RANGE,TRUCK_VAN,5.3,8,X,16.2,32.1868,329
2004,MID_RANGE,MIDSIZE_FULLSIZE,2.7,6,X,11.2,46.67086,223
2004,MID_RANGE,TRUCK_VAN,3.8,6,X,13.9,38.62416,271
2004,MID_RANGE,TRUCK_VAN,4.7,8,X,15.7,33.79614,310
2004,MID_RANGE,TRUCK_VAN,4.7,8,X,16.4,32.1868,320
2004,MID_RANGE,TRUCK_VAN,3.7,6,X,14.8,35.40548,299
2004,MID_RANGE,TRUCK_VAN,3.7,6,X,14.8,35.40548,297
2004,MID_RANGE,TRUCK_VAN,4.7,8,X,16.1,32.1868,324
2004,MID_RANGE,TRUCK_VAN,5.4,8,X,18.0,28.96812,363
2004,MID_RANGE,TRUCK_VAN,4.6,8,X,15.7,33.79614,315
2004,MID_RANGE,TRUCK_VAN,4.0,6,X,15.4,33.79614,306
2004,MID_RANGE,TRUCK_VAN,5.4,8,X,19.8,25.74944,398
2004,MID_RANGE,WAGON_SPECIALTY,2.0,4,X,9.5,54.71756,193
2004,MID_RANGE,WAGON_SPECIALTY,2.0,4,X,9.1,56.3269,184
2004,MID_RANGE,TRUCK_VAN,4.0,6,X,15.4,33.79614,313
2004,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,12.4,43.45218,242
2004,MID_RANGE,MIDSIZE_FULLSIZE,2.4,4,X,9.1,57.93624,182
2004,MID_RANGE,SEDAN_COMPACT,2.0,4,X,9.2,54.71756,189
2004,MID_RANGE,SUV_CROSSOVER,2.4,4,X,11.0,45.06152,230
2004,MID_RANGE,SEDAN_COMPACT,2.0,4,X,8.9,57.93624,179
2004,MID_RANGE,SUV_CROSSOVER,2.7,6,X,11.6,45.06152,232
2004,HIGH_RANGE,SUV_CROSSOVER,4.5,8,Z,15.9,32.1868,317
2004,HIGH_RANGE,SEDAN_COMPACT,3.5,6,Z,11.9,45.06152,235
2004,HIGH_RANGE,MIDSIZE_FULLSIZE,4.3,8,Z,13.2,40.2335,255
2004,HIGH_RANGE,MIDSIZE_FULLSIZE,4.6,8,X,13.9,38.62416,267
